Timepoint,Actinobacteria,Bacteroidetes,Desulfobacterota,Firmicutes,Proteobacteria,Acidobacteria,Euryarchaeota,Lentisphaerae,Synergistetes,Verrucomicrobia
1,,92,,7,,,,,,
1,,105,,12,,,,,,
1,,318,,167,,,,,,
1,,515,,174,,,,,,
1,,353,,488,,,,,,
1,,542,,522,,,,,,
1,,10,,1803,,,,,,
1,,,,2075,,,,,,
1,,,,2315,,,,,,
1,,,,2450,,,,,,
1,,,,2613,,,,,,
1,,,,3150,,,,,,
1,,,,3447,,,,,,
1,,,,427,,,,,,
1,,,,402,,,,,,
1,,,,92,,,,,,
1,,,,13,,,,,,
1,,,,152,,,,,,
1,,,,8292,,,,,,
1,,,,428,,,,,,
1,,,,225,,,,,,
1,,,,197,,,,,,
1,,,,178,,,,,,
1,,,,497,,,,,,
1,,,,591,,,,,,
1,,,,5224,,,,,,
1,,,,3605,,,,,,
1,,,,3125,,,,,,
1,,,,2650,,,,,,
1,,,,1831,,,,,,
1,,,,1321,,,,,,
1,,,,1297,,,,,,
1,,,,959,,,,,,
1,,,,890,,,,,,
1,,,,661,,,,,,
1,,,,21,,,,,,
1,,,,21,,,,,,
1,,,,1002,,,,,,
1,,,,23513.33334,,,,,,
1,,,,1903,,,,,,
1,,,,1752,,,,,,
1,,,,1474,,,,,,
1,,,,1392,,,,,,
1,,,,1288,,,,,,
1,,,,1168,,,,,,
1,,,,1010,,,,,,
1,,,,28,,,,,,
1,,,,114,,,,,,
1,,,,900,,,,,,
1,,,,841,,,,,,
1,,,,152,,,,,,
1,,,,894,,,,,,
1,,,,92,,,,,,
1,,,,13,,,,,,
1,,,,3447,,,,,,
1,,,,3150,,,,,,
1,,,,2613,,,,,,
1,,,,2450,,,,,,
1,,,,2315,,,,,,
1,,,,2075,,,,,,
1,,,,1803,,,,,,
1,,,,522,,,,,,
1,,,,488,,,,,,
1,,,,427,,,,,,
1,,,,402,,,,,,
2,71,123,215,34,29,5.833333333,,30,13707.5,25
2,71,91,167,30,156,,,11,13,100
2,38,123,167,38,181,,,74.66666665,280,46
2,903.8333335,123,,275,223,,,20,320,56
2,71,170,,1920,223,,,,440,4169.833334
2,15,175,,2076,125,,,,506,180
2,,204,,29,107,,,,717,208
2,,264,,27,109,,,,,
2,,137,,26,163,,,,,
2,,151,,26,51,,,,,
2,,205,,1589,99,,,,,
2,,243,,24,55,,,,,
2,,258,,24,69,,,,,
2,,150,,23,69,,,,,
2,,69,,22,76,,,,,
2,,34887,,21,78,,,,,
2,,13,,122,16214.66667,,,,,
2,,14,,24,9,,,,,
2,,178,,1465,163,,,,,
2,,137,,1442,192,,,,,
2,,150,,1358,211,,,,,
2,,151,,131,303,,,,,
2,,205,,1128,408,,,,,
2,,243,,1245,201,,,,,
2,,258,,1284,17,,,,,
2,,192,,1352,,,,,,
2,,266,,69,,,,,,
2,,540,,1260,,,,,,
2,,759,,110,,,,,,
2,,18345,,4058,,,,,,
2,,16714,,3682,,,,,,
2,,14392,,3266,,,,,,
2,,14247,,3131,,,,,,
2,,12227,,2971,,,,,,
2,,996,,162,,,,,,
